name,brand,generation,tdp,cables,vram,pcie,year
RTX 4500 Ada Generation,4,Ada Lovelace,210.0,,24.0,PCIe 4.0 x16,2023
RTX 5000 Ada Generation,4,Ada Lovelace,250.0,1x 16-pin,32.0,PCIe 4.0 x16,2023
RTX 5000 Embedded Ada Generation X2,4,Ada Lovelace,150.0,,16.0,PCIe 4.0 x16,2023
Radeon 740M,0,RDNA 3.0,45.0,,,PCIe 4.0 x8,2024
Radeon 760M,0,RDNA 3.0,15.0,,,PCIe 4.0 x8,2024
Radeon Instinct MI300,0,CDNA 3.0,600.0,2x 8-pin,128.0,PCIe 5.0 x16,2023
Radeon Instinct MI300A,0,CDNA 3.0,750.0,,192.0,PCIe 5.0 x16,2023
Radeon PRO W7500,0,RDNA 3.0,70.0,,8.0,PCIe 4.0 x8,2023
Radeon PRO W7600,0,RDNA 3.0,130.0,1x 6-pin,8.0,PCIe 4.0 x8,2023
Radeon PRO W7700,0,RDNA 3.0,190.0,1x 8-pin,16.0,PCIe 4.0 x16,2023
Radeon PRO W7800,0,RDNA 3.0,260.0,2x 8-pin,32.0,PCIe 4.0 x16,2023
Radeon PRO W7800 48 GB,0,RDNA 3.0,281.0,2x 8-pin,48.0,PCIe 4.0 x16,2023
Radeon PRO W7900,0,RDNA 3.0,295.0,2x 8-pin,48.0,PCIe 4.0 x16,2023
Radeon RX 6450M,0,RDNA 2.0,50.0,,4.0,PCIe 4.0 x4,2023
Radeon RX 6550M,0,RDNA 2.0,80.0,,4.0,PCIe 4.0 x4,2023
Radeon RX 6600 LE,0,RDNA 2.0,132.0,1x 8-pin,8.0,PCIe 4.0 x8,2023
Radeon RX 6750 GRE 10 GB,0,RDNA 2.0,170.0,1x 8-pin,10.0,PCIe 4.0 x16,2023
Radeon RX 6750 GRE 12 GB,0,RDNA 2.0,250.0,1x 6-pin + 1x 8-pin,12.0,PCIe 4.0 x16,2023
Radeon RX 7600,0,RDNA 3.0,165.0,1x 8-pin,8.0,PCIe 4.0 x8,2023
Radeon RX 7600M,0,RDNA 3.0,90.0,,8.0,PCIe 4.0 x16,2023
Radeon RX 7600M XT,0,RDNA 3.0,120.0,,8.0,PCIe 4.0 x16,2023
Radeon RX 7600S,0,RDNA 3.0,75.0,,8.0,PCIe 4.0 x16,2023
Radeon RX 7700 XT,0,RDNA 3.0,245.0,2x 8-pin,12.0,PCIe 4.0 x16,2023
Radeon RX 7700S,0,RDNA 3.0,100.0,,8.0,PCIe 4.0 x16,2023
Radeon RX 7800 XT,0,RDNA 3.0,263.0,2x 8-pin,16.0,PCIe 4.0 x16,2023
Radeon RX 7900 GRE,0,RDNA 3.0,260.0,2x 8-pin,16.0,PCIe 4.0 x16,2023
Radeon RX 7900M,0,RDNA 3.0,180.0,,16.0,PCIe 4.0 x16,2023
Ryzen Z1 Extreme GPU,0,RDNA 3.0,30.0,,16.0,,2023
Steam Deck OLED GPU,0,RDNA 2.0,15.0,,16.0,,2023
Arc A380M,2,Xe-HPG,35.0,,6.0,MXM-A (3.1),2023
Arc A530M,2,Xe-HPG,65.0,,8.0,PCIe 4.0 x8,2023
Arc A570M,2,Xe-HPG,75.0,,8.0,PCIe 4.0 x8,2023
Arc A580,2,Xe-HPG,175.0,2x 8-pin,8.0,PCIe 4.0 x16,2023
Arc Graphics 112EU Mobile,2,Xe-LPG,65.0,,,Ring Bus,2023
Arc Graphics 128EU Mobile,2,Xe-LPG,28.0,,,Ring Bus,2023
Arc Pro A60,2,Xe-HPG,130.0,,12.0,PCIe 4.0 x16,2023
Arc Pro A60M,2,Xe-HPG,95.0,,8.0,PCIe 4.0 x16,2023
Data Center GPU Max 1100,2,Generation 12.5,300.0,1x 12-pin,48.0,PCIe 5.0 x16,2023
Data Center GPU Max 1350,2,Generation 12.5,450.0,,96.0,PCIe 5.0 x16,2023
Data Center GPU Max 1550,2,Generation 12.5,600.0,,128.0,PCIe 5.0 x16,2023
Data Center GPU Max Subsystem,2,Generation 12.5,2400.0,1x 16-pin,128.0,PCIe 5.0 x16,2023
B200,4,Blackwell,1000.0,,90.0,PCIe 5.0 x16,2024
GeForce RTX 3050 6 GB,4,Ampere,70.0,,6.0,PCIe 4.0 x8,2024
GeForce RTX 3050 A Mobile,4,Ampere,45.0,,4.0,PCIe 4.0 x8,2024
GeForce RTX 4010,4,Ampere,50.0,,4.0,PCIe 4.0 x8,2024
GeForce RTX 4060 AD106,4,Ada Lovelace,115.0,1x 12-pin,8.0,PCIe 4.0 x8,2024
GeForce RTX 4060 Ti AD104,4,Ada Lovelace,160.0,1x 16-pin,8.0,PCIe 4.0 x8,2024
GeForce RTX 4070 AD103,4,Ada Lovelace,200.0,1x 16-pin,12.0,PCIe 4.0 x16,2024
GeForce RTX 4070 SUPER,4,Ada Lovelace,220.0,1x 16-pin,12.0,PCIe 4.0 x16,2024
GeForce RTX 4070 Ti SUPER,4,Ada Lovelace,285.0,1x 16-pin,16.0,PCIe 4.0 x16,2024
GeForce RTX 4080 SUPER,4,Ada Lovelace,320.0,1x 16-pin,16.0,PCIe 4.0 x16,2024
H200 NVL,4,Hopper,600.0,8-pin EPS,141.0,PCIe 5.0 x16,2024
H200 SXM 141 GB,4,Hopper,700.0,8-pin EPS,141.0,PCIe 5.0 x16,2024
Jetson Orin Nano Super,4,Ampere,25.0,,8.0,PCIe 4.0 x4,2024
RTX 1000 Mobile Ada Generation,4,Ada Lovelace,35.0,,6.0,PCIe 4.0 x8,2024
RTX 2000 Ada Generation,4,Ada Lovelace,70.0,,16.0,PCIe 4.0 x8,2024
RTX 500 Mobile Ada Generation,4,Ada Lovelace,35.0,,4.0,PCIe 4.0 x8,2024
RTX 5880 Ada Generation,4,Ada Lovelace,285.0,1x 16-pin,48.0,PCIe 4.0 x16,2024
RTX A1000,4,Ampere,50.0,,8.0,PCIe 4.0 x8,2024
Playstation 5 Pro GPU,0,RDNA 2.0,232.0,,16.0,,2024
Radeon 880M,0,RDNA 3.5,15.0,,,PCIe 4.0 x8,2024
Radeon Instinct MI325X,0,CDNA 3.0,1000.0,,288.0,PCIe 5.0 x16,2024
Radeon PRO V710,0,RDNA 3.0,158.0,1x 8-pin,28.0,PCIe 4.0 x16,2024
Radeon RX 7600 XT,0,RDNA 3.0,190.0,1x 8-pin,16.0,PCIe 4.0 x8,2024
Radeon RX 7800M,0,RDNA 3.0,180.0,,12.0,PCIe 4.0 x16,2024
Xbox Series X 6nm GPU,0,RDNA 2.0,200.0,,10.0,,2024
Arc 130V Mobile,2,Xe2-LPG,37.0,,,PCIe 4.0 x8,2024
Arc B580,2,Xe2-HPG,190.0,1x 8-pin,12.0,PCIe 4.0 x8,2024
Arc Graphics 24EU,2,Xe-LPG,65.0,,,Ring Bus,2024
B300,4,Blackwell Ultra,1400.0,,144.0,PCIe 5.0 x16,2025
GB10,4,Blackwell 2.0,140.0,,128.0,PCIe 5.0 x16,2025
GeForce RTX 5050,4,Blackwell 2.0,130.0,1x 8-pin,8.0,PCIe 5.0 x8,2025
GeForce RTX 5050 Mobile,4,Blackwell 2.0,50.0,,8.0,PCIe 5.0 x16,2025
GeForce RTX 5060,4,Blackwell 2.0,145.0,1x 8-pin,8.0,PCIe 5.0 x8,2025
GeForce RTX 5060 Mobile,4,Blackwell 2.0,45.0,,8.0,PCIe 5.0 x16,2025
GeForce RTX 5060 Ti 16 GB,4,Blackwell 2.0,180.0,1x 8-pin,16.0,PCIe 5.0 x8,2025
GeForce RTX 5060 Ti 8 GB,4,Blackwell 2.0,180.0,1x 8-pin,8.0,PCIe 5.0 x8,2025
GeForce RTX 5070,4,Blackwell 2.0,250.0,1x 16-pin,12.0,PCIe 5.0 x16,2025
GeForce RTX 5070 Ti,4,Blackwell 2.0,300.0,1x 16-pin,16.0,PCIe 5.0 x16,2025
GeForce RTX 5070 Ti Mobile,4,Blackwell 2.0,60.0,,12.0,PCIe 5.0 x16,2025
GeForce RTX 5080,4,Blackwell 2.0,360.0,1x 16-pin,16.0,PCIe 5.0 x16,2025
GeForce RTX 5080 Mobile,4,Blackwell 2.0,80.0,,16.0,PCIe 5.0 x16,2025
GeForce RTX 5090,4,Blackwell 2.0,575.0,1x 16-pin,32.0,PCIe 5.0 x16,2025
GeForce RTX 5090 D V2,4,Blackwell 2.0,575.0,1x 16-pin,24.0,PCIe 5.0 x16,2025
GeForce RTX 5090 Mobile,4,Blackwell 2.0,95.0,,24.0,PCIe 5.0 x16,2025
Jetson T4000,4,Blackwell,40.0,,64.0,PCIe 5.0 x16,2025
Jetson T5000,4,Blackwell,40.0,,128.0,PCIe 5.0 x16,2025
RTX 6000D,4,Blackwell 2.0,600.0,1x 16-pin,84.0,PCIe 5.0 x16,2025
RTX PRO 2000 Blackwell,4,Blackwell 2.0,70.0,,16.0,PCIe 5.0 x8,2025
RTX PRO 4000 Blackwell,4,Blackwell 2.0,140.0,1x 16-pin,24.0,PCIe 5.0 x16,2025
RTX PRO 4000 Blackwell SFF,4,Blackwell 2.0,70.0,,24.0,PCIe 5.0 x8,2025
RTX PRO 4500 Blackwell,4,Blackwell 2.0,200.0,1x 16-pin,32.0,PCIe 5.0 x16,2025
RTX PRO 5000 72 GB Blackwell,4,Blackwell 2.0,300.0,1x 16-pin,72.0,PCIe 5.0 x16,2025
RTX PRO 5000 Blackwell,4,Blackwell 2.0,300.0,1x 16-pin,48.0,PCIe 5.0 x16,2025
RTX PRO 6000 Blackwell,4,Blackwell 2.0,600.0,1x 16-pin,96.0,PCIe 5.0 x16,2025
RTX PRO 6000 Blackwell Max-Q,4,Blackwell 2.0,300.0,1x 16-pin,96.0,PCIe 5.0 x16,2025
Switch 2 GPU,4,Ampere,40.0,,12.0,,2025
Radeon 8040S,0,RDNA 3.5,55.0,,,PCIe 5.0 x16,2025
Radeon 860M,0,RDNA 3.5,15.0,,,PCIe 4.0 x8,2025
Radeon AI PRO 9600D,0,RDNA 4.0,150.0,1x 16-pin,32.0,PCIe 5.0 x16,2025
Radeon AI PRO R9700,0,RDNA 4.0,300.0,1x 16-pin,32.0,PCIe 5.0 x16,2025
Radeon Instinct MI350X,0,CDNA 4.0,1000.0,,288.0,PCIe 5.0 x16,2025
Radeon Instinct MI355X,0,CDNA 4.0,1400.0,,288.0,PCIe 5.0 x16,2025
Radeon PRO W7900D,0,RDNA 3.0,295.0,2x 8-pin,48.0,PCIe 4.0 x16,2025
Radeon RX 7400,0,RDNA 3.0,43.0,1x 6-pin,8.0,PCIe 4.0 x8,2025
Radeon RX 7650 GRE,0,RDNA 3.0,165.0,1x 8-pin,8.0,PCIe 4.0 x8,2025
Radeon RX 7700,0,RDNA 3.0,200.0,1x 8-pin,16.0,PCIe 4.0 x16,2025
Radeon RX 9060,0,RDNA 4.0,132.0,1x 8-pin,8.0,PCIe 5.0 x16,2025
Radeon RX 9060 XT 16 GB,0,RDNA 4.0,160.0,1x 8-pin,16.0,PCIe 5.0 x16,2025
Radeon RX 9060 XT 8 GB,0,RDNA 4.0,150.0,1x 8-pin,8.0,PCIe 5.0 x16,2025
Radeon RX 9070,0,RDNA 4.0,220.0,2x 8-pin,16.0,PCIe 5.0 x16,2025
Radeon RX 9070 GRE,0,RDNA 4.0,220.0,2x 8-pin,12.0,PCIe 5.0 x16,2025
Radeon RX 9070 XT,0,RDNA 4.0,304.0,2x 8-pin,16.0,PCIe 5.0 x16,2025
Ryzen AI Z2 Extreme GPU,0,RDNA 3.5,28.0,,16.0,,2025
Ryzen Z2 A GPU,0,RDNA 2.0,15.0,,16.0,,2025
Ryzen Z2 Go GPU,0,RDNA 2.0,28.0,,16.0,,2025
Ryzen Z2 GPU,0,RDNA 3.0,28.0,,16.0,,2025
Arc 130T Mobile,2,Xe-LPG+,35.0,,,PCIe 4.0 x8,2025
Arc B570,2,Xe2-HPG,150.0,1x 8-pin,10.0,PCIe 4.0 x8,2025
Arc Pro B50,2,Xe2-HPG,70.0,,16.0,PCIe 5.0 x8,2025
Arc Pro B60,2,Xe2-HPG,200.0,,24.0,PCIe 5.0 x8,2025
Graphics 24EU Mobile,2,Xe-LP,6.0,,,Ring Bus,2025
